clip,volume,color,grav_taper,grav_direction,grav_speedup,grav_leading_edge,gravity,composite
000_a_cup_pouring_water_into_a_glass_realist_s5450791327826180497.mp4,0.9866,0.422,0.2471,0.491,0.0287,NA,0.2546,0.5526
001_a_kitchen_sink_faucet_running_water_flow_s5450791327826180498.mp4,0.7458,0.5595,0.2936,0.4528,0.0045,NA,0.2554,0.5031
002_a_cup_pouring_water_into_a_glass_realist_s5450791327826180499.mp4,1.0,0.2023,0.0297,0.3412,0.0044,NA,0.1139,0.4461
003_a_kitchen_sink_faucet_running_water_flow_s5450791327826180500.mp4,0.9845,0.6756,0.9176,NA,0.0001,NA,0.5353,0.7276
004_a_cup_pouring_water_into_a_glass_realist_s5450791327826180501.mp4,1.0,0.2404,0.6608,0.6902,0.05,NA,0.4898,0.606
005_a_kitchen_sink_faucet_running_water_flow_s5450791327826180502.mp4,1.0,0.5101,0.8927,NA,0.0716,NA,0.5506,0.6978
006_a_cup_pouring_water_into_a_glass_realist_s5450791327826180503.mp4,1.0,0.3215,0.8229,NA,0.0009,0.9342,0.5711,0.6588
007_a_kitchen_sink_faucet_running_water_flow_s5450791327826180504.mp4,1.0,0.2641,0.2994,0.7208,0.0027,NA,0.3361,0.5505
008_a_cup_pouring_water_into_a_glass_realist_s5450791327826180505.mp4,0.6654,0.4321,0.403,0.1563,0.0006,NA,0.2121,0.4258
009_a_kitchen_sink_faucet_running_water_flow_s5450791327826180506.mp4,1.0,0.5245,0.476,NA,0.0112,NA,0.2823,0.594
fntn.mp4,1.0,0.85,0.7638,0.1909,0.0126,NA,0.3743,0.7122
wtr.mp4,0.8771,0.9093,0.7735,0.5586,0.02,NA,0.4886,0.7298
